as_of,target,target_end_date,location,location_name,observation,weekly_rate
2026-02-04,wk inc flu hosp,2024-11-02,US,US,1009.0,0.296667863021232
2026-02-04,wk inc flu hosp,2024-11-02,US,US,1009.0,0.296667863021232
2026-02-04,wk inc flu hosp,2024-11-09,US,US,2161.0,0.635380824567773
2026-02-04,wk inc flu hosp,2024-11-09,US,US,2164.0,0.636262889571801
2026-02-04,wk inc flu hosp,2024-11-16,US,US,2608.0,0.766808510167863
2026-02-04,wk inc flu hosp,2024-11-16,US,US,2612.0,0.7679845968399
2026-02-04,wk inc flu hosp,2024-11-23,US,US,3275.0,0.962920962729966
2026-02-04,wk inc flu hosp,2024-11-23,US,US,3279.0,0.964097049402003
2026-02-04,wk inc flu hosp,2024-11-30,US,US,4435.0,1.30398609762058
2026-02-04,wk inc flu hosp,2024-11-30,US,US,4438.0,1.30486816262461
2026-02-04,wk inc flu hosp,2024-12-07,US,US,6513.0,1.91496312374359
2026-02-04,wk inc flu hosp,2024-12-07,US,US,6517.0,1.91613921041563
2026-02-04,wk inc flu hosp,2024-12-14,US,US,9586.0,2.81849170953571
2026-02-04,wk inc flu hosp,2024-12-14,US,US,9590.0,2.81966779620775
2026-02-04,wk inc flu hosp,2024-12-21,US,US,16109.0,4.7363950499594
2026-02-04,wk inc flu hosp,2024-12-21,US,US,16121.0,4.73992330997551
2026-02-04,wk inc flu hosp,2024-12-28,US,US,28631.0,8.41813437676997
2026-02-04,wk inc flu hosp,2024-12-28,US,US,28641.0,8.42107459345007
2026-02-04,wk inc flu hosp,2025-01-04,US,US,39599.0,11.6429640314943
2026-02-04,wk inc flu hosp,2025-01-04,US,US,39611.0,11.6464922915104
2026-02-04,wk inc flu hosp,2025-01-11,US,US,31790.0,9.34694882601088
2026-02-04,wk inc flu hosp,2025-01-11,US,US,31805.0,9.35135915103102
2026-02-04,wk inc flu hosp,2025-01-18,US,US,33627.0,9.88706663014369
2026-02-04,wk inc flu hosp,2025-01-18,US,US,33637.0,9.89000684682378
2026-02-04,wk inc flu hosp,2025-01-25,US,US,41342.0,12.1554437988343
2026-02-04,wk inc flu hosp,2025-01-25,US,US,41354.0,12.1589720588504
2026-02-04,wk inc flu hosp,2025-02-01,US,US,52450.0,15.4214364870799
2026-02-04,wk inc flu hosp,2025-02-01,US,US,52464.0,15.425552790432
2026-02-04,wk inc flu hosp,2025-02-08,US,US,55463.0,16.3073237727915
2026-02-04,wk inc flu hosp,2025-02-08,US,US,55483.0,16.3132042061517
2026-02-04,wk inc flu hosp,2025-02-15,US,US,47759.0,14.042180842449
2026-02-04,wk inc flu hosp,2025-02-15,US,US,47762.0,14.043062907453
2026-02-04,wk inc flu hosp,2025-02-22,US,US,39261.0,11.5435847077072
2026-02-04,wk inc flu hosp,2025-02-22,US,US,39267.0,11.5453488377153
2026-02-04,wk inc flu hosp,2025-03-01,US,US,31885.0,9.37488088447175
2026-02-04,wk inc flu hosp,2025-03-01,US,US,31893.0,9.37723305781582
2026-02-04,wk inc flu hosp,2025-03-08,US,US,24676.0,7.25527867979379
2026-02-04,wk inc flu hosp,2025-03-08,US,US,24679.0,7.25616074479781
2026-02-04,wk inc flu hosp,2025-03-15,US,US,18844.0,5.54054431196442
2026-02-04,wk inc flu hosp,2025-03-15,US,US,18848.0,5.54172039863646
2026-02-04,wk inc flu hosp,2025-03-22,US,US,14029.0,4.12482998050037
2026-02-04,wk inc flu hosp,2025-03-22,US,US,14035.0,4.12659411050842
2026-02-04,wk inc flu hosp,2025-03-29,US,US,9957.0,2.92757374836711
2026-02-04,wk inc flu hosp,2025-03-29,US,US,9959.0,2.92816179170313
2026-02-04,wk inc flu hosp,2025-04-05,US,US,6971.0,2.04962504769178
2026-02-04,wk inc flu hosp,2025-04-05,US,US,6973.0,2.0502130910278
2026-02-04,wk inc flu hosp,2025-04-12,US,US,5054.0,1.48598551011824
2026-02-04,wk inc flu hosp,2025-04-12,US,US,5055.0,1.48627953178625
2026-02-04,wk inc flu hosp,2025-04-19,US,US,3961.0,1.16461982698424
2026-02-04,wk inc flu hosp,2025-04-19,US,US,3966.0,1.16608993532429
2026-02-04,wk inc flu hosp,2025-04-26,US,US,3307.0,0.972329656106259
2026-02-04,wk inc flu hosp,2025-04-26,US,US,3308.0,0.972623677774268
2026-02-04,wk inc flu hosp,2025-05-03,US,US,2538.0,0.746226993407223
2026-02-04,wk inc flu hosp,2025-05-03,US,US,2541.0,0.74710905841125
2026-02-04,wk inc flu hosp,2025-05-10,US,US,2180.0,0.640967236259947
2026-02-04,wk inc flu hosp,2025-05-10,US,US,2181.0,0.641261257927956
2026-02-04,wk inc flu hosp,2025-05-17,US,US,1897.0,0.557759104213358
2026-02-04,wk inc flu hosp,2025-05-17,US,US,1898.0,0.558053125881367
2026-02-04,wk inc flu hosp,2025-05-24,US,US,1740.0,0.511597702335921
2026-02-04,wk inc flu hosp,2025-05-24,US,US,1742.0,0.512185745671939
2026-02-04,wk inc flu hosp,2025-05-31,US,US,1846.0,0.542763999144891
2026-02-04,wk inc flu hosp,2025-05-31,US,US,1847.0,0.5430580208129
